Folder,Filename,Ground_Truth,Predicted,Correct
27_30,27_30_1.bmp,27,27,True
27_30,27_30_10.bmp,27,27,True
27_30,27_30_2.bmp,27,27,True
27_30,27_30_3.bmp,27,27,True
27_30,27_30_4.bmp,27,27,True
27_30,27_30_5.bmp,27,27,True
27_30,27_30_6.bmp,27,27,True
27_30,27_30_7.bmp,27,27,True
27_30,27_30_8.bmp,27,27,True
27_30,27_30_9.bmp,27,26,False
27_45,27_45_1.bmp,27,27,True
27_45,27_45_10.bmp,27,27,True
27_45,27_45_2.bmp,27,24,False
27_45,27_45_3.bmp,27,27,True
27_45,27_45_4.bmp,27,27,True
27_45,27_45_5.bmp,27,27,True
27_45,27_45_6.bmp,27,27,True
27_45,27_45_7.bmp,27,27,True
27_45,27_45_8.bmp,27,27,True
27_45,27_45_9.bmp,27,16,False
28,28_1.bmp,28,23,False
28,28_10.bmp,28,23,False
28,28_2.bmp,28,33,False
28,28_3.bmp,28,29,False
28,28_4.bmp,28,28,True
28,28_5.bmp,28,29,False
28,28_6.bmp,28,25,False
28,28_7.bmp,28,21,False
28,28_8.bmp,28,28,True
28,28_9.bmp,28,22,False
31,31_1.bmp,31,34,False
31,31_10.bmp,31,24,False
31,31_2.bmp,31,31,True
31,31_3.bmp,31,32,False
31,31_4.bmp,31,27,False
31,31_5.bmp,31,29,False
31,31_6.bmp,31,30,False
31,31_7.bmp,31,19,False
31,31_8.bmp,31,17,False
31,31_9.bmp,31,22,False
